parkName,stateAbbrev,stateName,totalDeferredMaintenance2019,totalDeferredMaintenance2018,totalDeferredMaintenance2017,totalDeferredMaintenance2016,nonTransportation2016,totalDeferredMaintenance2015
Sequoia and Kings Canyon National Park,CA,California,200947529.3,169994705.1,176564467.9,145379039,67489964.16,160357480.9
Shenandoah National Park,VA,Virginia,70945483.89,88765194.94,79208620.88,75679764.19,32357327.97,90205606.62
Theodore Roosevelt National Park,ND,North Dakota,52234057.38,46798219.88,49334370.47,52270276.84,16396670.37,40702377.41
Virgin Islands National Park,VI,Virgin Islands,25469463.05,33299680.12,26553028.72,16817535.62,12049352.27,14218296.41
Voyageurs National Park,MN,Minnesota,13447127.6,9843565.165,14875388.2,17341696.23,8105005.049,15965764.47
Western Arctic National Parklands,AK,Alaska,915408.11,443808.68,401099.97,269034.95,269034.95,365942.06
White Sands National Park,NM,New Mexico,6403635.949,3114554.515,2580077.149,1862954.67,1862954.67,3222333.626
Wind Cave National Park,SD,South Dakota,20579059.13,16485191.71,20428419.08,16385254.49,6621467.999,12846435.11
Wrangell St Elias National Park,AK,Alaska,16068557.17,16980268.95,17037882.28,19271905.74,17836641.76,19403782.83
Yellowstone National Park,Total,Total,740613125.6,585548997.1,515808707.4,663268388.6,199582558.1,631679666.2
Yosemite National Park,CA,California,643020990.4,645657600.6,582670827.4,555086179,323059102.4,555015819.4
Zion National Park,UT,Utah,68195935.3,67552651.35,65291892.99,70044814.77,20726179.12,69848826.76
Western Arctic National Parklands,AK,Alaska,915408.11,443808.68,401099.97,269034.95,269034.95,365942.06
