,Year,Park Name,Spending,Visitation,temp_avg,precip_sum,visibility,uvindex,severerisk,acres,count,dmr,light_pollution_ratio
282,2013,Gateway Arch,25282,2377258.0,54.94821917808219,39.331,9.23945205479452,6.586301369863014,,,,,
283,2014,Gateway Arch,25282,1817091.0,54.53589041,39.512,9.18,6.550684931506849,,,,,
284,2015,Gateway Arch,32930,1698656.0,57.74684931506849,54.894,9.172602739726027,6.372602739726028,,,,0.0,
285,2016,Gateway Arch,24769,1271855.0,59.05819672131148,39.133,9.343169398907104,6.379781420765028,,,,25846163.66,
286,2017,Gateway Arch,25346,1398188.0,59.40821917808219,30.527,9.431780821917808,6.673972602739726,,,,24446749.24,
287,2018,Gateway Arch,25298,2016180.0,56.58684932,51.419,9.210136986,5.780821917808219,,,,24551305.93,
288,2019,Gateway Arch,25489,2055309.0,56.172876712328765,48.064,9.273972602739724,5.873972602739726,,,,31260655.9,
289,2020,Gateway Arch,10165,486021.0,56.67732240437159,47.801,9.277595628,5.882513661202186,,,,,
290,2021,Gateway Arch,10373,1145081.0,57.30575342465753,37.678,9.346575342465751,6.019178082191781,,,,,
291,2022,Gateway Arch,10736,1618774.0,56.24219178082192,48.285,9.372328767123289,6.342465753424658,25.21067415730337,,,,
292,2023,Gateway Arch,10736,,58.80465753424658,33.64,9.367397260273972,6.191780821917808,18.054794520547944,,,37775929.0,
293,2024,Gateway Arch,11374,,,,,,,,,,
294,2011,Glacier,14410,431986.0,40.403561643835616,12.468,9.239118457300275,5.608219178082192,,27.9,10.0,,
295,2012,Glacier,14410,454337.0,42.34699453551912,10.932,9.329863013698631,5.598360655737705,,160.5,4.0,,
296,2013,Glacier,13741,500590.0,42.21534246575342,11.64,9.191780821917808,5.5917808219178085,,0.4,4.0,,
297,2014,Glacier,13741,500727.0,41.14356164383562,14.308,8.976712328767123,5.5479452054794525,,1.5,6.0,,
298,2015,Glacier,13324,551353.0,44.304931506849314,8.428,8.981643835616438,5.684931506849315,,23828.0,22.0,179807896.8,
299,2016,Glacier,13481,520171.0,43.71502732240437,21.833,9.136885246,5.565573770491803,,10.6,5.0,148262903.2,
300,2017,Glacier,13823,547057.0,41.51424657534247,10.044,8.627945205479453,5.539726027,,21718.5,23.0,153838276.0,
301,2018,Glacier,13777,597915.0,41.20027397260274,8.573,8.788767123287672,4.4,,17435.2,8.0,131189893.6,
302,2019,Glacier,13862,672087.0,39.59890410958904,9.922,8.995890410958904,4.460273973,,0.5,5.0,179273366.5,
303,2020,Glacier,13959,5748.0,42.28469945355192,11.554,9.036438356164384,4.617486338797814,,0.8,8.0,,
304,2021,Glacier,14364,89768.0,42.67013698630137,22.029,9.052328767123289,4.764383561643836,,0.2,2.0,,
305,2022,Glacier,15115,545758.0,40.92821917808219,6.926,8.835342465753424,4.742465753424658,10.337078651685394,1979.81,9.0,,
306,2023,Glacier,15115,,43.71780821917808,16.54,8.817534246575343,4.887671232876713,10.32876712328767,2.25,12.0,100798673.0,
307,2024,Glacier,16226,,,,,,,,,,
308,2011,Glacier Bay,4821,1853564.0,41.91589041,4.898,9.324383561643836,3.1013698630136988,,,,,
309,2012,Glacier Bay,4821,2162035.0,41.543169398907104,12.795,9.33826815642458,2.846994535519125,,,,,
310,2013,Glacier Bay,4862,2190374.0,42.714520547945206,19.182,9.028169014084508,3.191780821917808,,,,,
311,2014,Glacier Bay,4862,2338528.0,43.54246575342466,83.464,9.111987382,3.1671232876712327,,,,,
312,2015,Glacier Bay,4813,2366056.0,44.02931506849316,40.121,9.285082872928175,3.115068493150685,,,,11310667.61,
313,2016,Glacier Bay,4837,2946681.0,44.06284153005465,49.944,9.426111111111112,3.128415300546448,,,,13716151.55,
314,2017,Glacier Bay,5073,3305512.0,41.84301369863014,48.441,9.238950276243092,3.186301369863014,,,,9442527.78,
315,2018,Glacier Bay,5063,2965309.0,43.285753424657536,39.114,9.211506849,3.0767123287671234,,,,13009732.15,
316,2019,Glacier Bay,5103,3049839.0,44.23945205479452,42.247,9.220273973,3.5506849315068494,,,,17664216.87,
317,2020,Glacier Bay,5145,1698864.0,42.60519126,51.606,9.113387978142075,3.4371584699453552,,,,,
318,2021,Glacier Bay,5237,3081656.0,41.654794520547945,42.643,9.144931506849316,3.1232876712328768,,,,,
