park_name,year,acres
Crater Lake,2020,1.7000000000000002
Crater Lake,2021,21.59
Crater Lake,2022,4.15
Crater Lake,2023,6.87
Cuyahoga Valley,2012,0.8
Cuyahoga Valley,2021,13.93
Denali,2010,1.6
Denali,2011,2534.9
Denali,2012,216.79999999999998
Denali,2013,98116.3
Denali,2015,14693.8
Denali,2016,3.0
Denali,2018,474.7
Denali,2019,49527.8
Denali,2020,693.07
Denali,2021,20.73
Denali,2022,15.26
Glacier,2010,0.5
Glacier,2011,27.900000000000002
Glacier,2012,160.5
Glacier,2013,0.4
Glacier,2014,1.5
Glacier,2015,23828.0
Glacier,2016,10.6
Glacier,2017,21718.5
Glacier,2018,17435.2
Glacier,2019,0.5
Glacier,2020,0.8
Glacier,2021,0.2
Glacier,2022,1979.81
Glacier,2023,2.25
Grand Canyon,2010,3438.7
Grand Canyon,2011,4599.700000000001
Grand Canyon,2012,43.6
Grand Canyon,2013,252.9
Grand Canyon,2014,6427.4
Grand Canyon,2015,2.6
Grand Canyon,2016,15095.1
Grand Canyon,2017,0.30000000000000004
Grand Canyon,2018,11841.699999999999
Grand Canyon,2019,16488.5
Grand Canyon,2020,8364.18
Grand Canyon,2021,5.02
Grand Canyon,2022,1489.9499999999998
Grand Canyon,2023,121.08000000000001
Grand Teton,2010,59.49999999999999
Grand Teton,2011,0.7000000000000001
Grand Teton,2012,2.6
Grand Teton,2013,243.1
Grand Teton,2014,0.5
Grand Teton,2015,7.3
Grand Teton,2016,20829.5
Grand Teton,2018,3.8
Grand Teton,2019,0.7000000000000001
Grand Teton,2020,0.8
Grand Teton,2021,0.7000000000000001
Grand Teton,2022,0.5
Grand Teton,2023,0.2
Great Basin,2010,5.2
Great Basin,2012,0.2
Great Basin,2013,0.5
Great Basin,2014,0.1
Great Basin,2015,0.2
Great Basin,2016,4656.0
Great Basin,2017,0.2
Great Basin,2018,0.1
Great Basin,2019,0.2
Great Basin,2020,0.3
Great Basin,2022,0.1
Great Smoky Mountains,2011,77.9
Great Smoky Mountains,2012,100.0
Great Smoky Mountains,2013,10.2
Great Smoky Mountains,2016,240.2
Great Smoky Mountains,2019,0.1
Great Smoky Mountains,2021,0.2
Great Smoky Mountains,2022,0.2
Great Smoky Mountains,2023,6.4399999999999995
Haleakala,2011,0.1
Hot Springs,2010,3.5
Hot Springs,2012,5.8
Hot Springs,2014,2.0
Hot Springs,2015,0.4
Hot Springs,2016,20.400000000000002
Hot Springs,2017,0.1
Hot Springs,2018,0.1
Hot Springs,2021,136.62
Hot Springs,2022,162.63
Hot Springs,2023,17.63
Hot Springs,2024,1.0
Indiana Dunes,2010,6.9
Indiana Dunes,2011,0.6000000000000001
Indiana Dunes,2012,75.0
Indiana Dunes,2013,11.4
Indiana Dunes,2014,0.4
Indiana Dunes,2015,266.1
Indiana Dunes,2016,420.0
Indiana Dunes,2017,16.4
Indiana Dunes,2018,0.2
Indiana Dunes,2019,223.9
Indiana Dunes,2020,0.03
Indiana Dunes,2021,424.58
Isle Royale,2011,0.1
Isle Royale,2012,5.0
Isle Royale,2013,0.1
Isle Royale,2022,6.14
Kings Canyon,2010,9027.5
Kings Canyon,2011,0.6
Kings Canyon,2012,325.90000000000003
Kings Canyon,2013,711.3000000000001
Kings Canyon,2014,18.0
Kings Canyon,2015,162.3
Kings Canyon,2016,77.8
Kings Canyon,2017,20.400000000000002
Kings Canyon,2018,188.8
Kings Canyon,2019,1.7
Kings Canyon,2020,1319.4399999999998
Kings Canyon,2021,114.47
Kings Canyon,2022,29.529999999999998
Kings Canyon,2023,0.6000000000000001
Mammoth Cave,2010,0.1
Mammoth Cave,2011,0.1
Mammoth Cave,2014,0.4
Mammoth Cave,2015,0.3
Mammoth Cave,2017,0.3
Mount Rainier,2012,7.5
Mount Rainier,2013,0.4
Mount Rainier,2014,2.2
Mount Rainier,2016,0.2
Mount Rainier,2017,0.1
Mount Rainier,2018,25.2
Mount Rainier,2020,0.1
Mount Rainier,2023,0.7
Shenandoah,2010,0.9
Shenandoah,2011,0.2
Shenandoah,2012,2142.4
Shenandoah,2013,0.5
Shenandoah,2014,468.2
Shenandoah,2015,1.7
Shenandoah,2016,10326.3
Shenandoah,2017,25.6
Shenandoah,2018,0.6
Shenandoah,2019,4.0
Theodore Roosevelt,2010,0.2
Theodore Roosevelt,2011,0.1
Theodore Roosevelt,2012,0.5
Theodore Roosevelt,2013,0.9
Theodore Roosevelt,2014,7.0
Theodore Roosevelt,2015,0.30000000000000004
Theodore Roosevelt,2017,33.0
Theodore Roosevelt,2018,12.7
Theodore Roosevelt,2019,1.3
Theodore Roosevelt,2021,54.050000000000004
Theodore Roosevelt,2023,2.09
Voyageurs,2011,300.2
Voyageurs,2012,0.8
Voyageurs,2013,0.2
Voyageurs,2014,0.2
Voyageurs,2015,0.1
Voyageurs,2016,0.2
Voyageurs,2018,0.1
