Year,Park Name,temp_avg,precip_sum,visibility,uvindex,severerisk
2017,Capitol Reef,53.431232876712336,8.082,9.85917808219178,7.523287671232877,
2018,Acadia,46.17068493150685,37.005,8.737808219178083,5.109589041095891,
2018,Arches,56.22438356164384,6.37,9.711538461538462,7.298630136986302,
2018,Badlands,45.839999999999996,28.837,9.16054794520548,6.4,
2018,Big Bend,67.88520547945205,14.044,,8.06027397260274,
2018,Biscayne,76.70109589041097,61.123,9.74958904109589,4.701369863013698,
2018,Black Canyon Of The Gunnison,45.23780821917808,0.683,9.74904109589041,7.254794520547946,
2018,Bryce Canyon,44.02109589041096,9.929,9.613972602739725,7.241095890410959,
2018,Canyonlands,56.24547945205479,6.252,9.75972602739726,7.306849315068493,
2018,Capitol Reef,53.1958904109589,8.823,9.803287671232878,7.186301369863013,
