UNIT_CODE,UNIT_NAME,UNIT_TYPE,STATE,Abandoned Wells within 30 miles,active_wells_in_parks,at_risk
FOMC,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,MD,0,,
SAIR,Saugus Iron Works National Historic Site,National Historic Site,MA,0,,
ROWI,Roger Williams National Memorial,National Memorial,RI,0,,
CHRI,Christiansted National Historic Site,National Historic Site,VI,0,,
ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,PA,4,,
DESO,De Soto National Memorial,National Memorial,FL,0,,
ANDE,Andersonville National Historic Site,National Historic Site,GA,0,,
COWP,Cowpens National Battlefield,National Battlefield,SC,0,,
CHIR,Chiricahua National Monument,National Monument,AZ,1,,
MALU,"Martin Luther King, Jr. National Historical Park",National Historical Park,GA,0,,
WAPA,War in the Pacific,National Historical Park,GU,0,,
DETO,Devils Tower National Monument,National Monument,WY,95,,
BOST,Boston National Historical Park,National Historical Park,MA,0,,
ORCA,Oregon Caves National Monument and Preserve,National Monument,OR,0,,
GEGR,General Grant National Memorial,National Memorial,NY,6,,
GOGA,Golden Gate National Recreation Area,National Recreation Area,CA,38,,
POCH,Port Chicago Naval Magazine National Memorial,National Memorial,CA,256,,
JODA,John Day Fossil Beds National Monument,National Monument,OR,0,,
FRST,First State National Historical Park,National Historical Park,DE,0,,
PAGR,Paterson Great Falls National Historical Park,National Historical Park,NJ,6,,
WEFA,Weir Farm National Historic Site,National Historic Site,CT,1,,
THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,NY,220,,
LAVO,Lassen Volcanic National Park,National Park,CA,0,0,0
HONO,Honouliuli National Historic Site,National Historic Site,HI,0,,
FODO,Fort Donelson National Battlefield,National Battlefield,TN,2,,
VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,NY,0,,
JICA,Jimmy Carter National Historic Site,National Historic Site,GA,0,,
GATE,Gateway National Recreation Area,National Recreation Area,NY,6,,
UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,PA,0,,
MIIN,Minidoka National Historic Site,National Historic Site,WA,0,,
BIHO,Big Hole National Battlefield,National Battlefield,MT,0,,
CACH,Canyon de Chelly National Monument,National Monument,AZ,0,,
CACO,Cape Cod National Seashore,National Seashore,MA,0,,
MAPR,Manhattan Project National Historical Park,National Historical Park,NM,7,,
MORA,Mount Rainier National Park,National Park,WA,0,0,0
LIBO,Lincoln Boyhood National Memorial,National Memorial,IN,155,,
FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,MA,0,,
CAMO,Castle Mountains National Monument,National Monument,CA,3,,
GEWA,George Washington Birthplace National Monument,National Monument,VA,0,,
HAGR,Hamilton Grange National Memorial,National Memorial,NY,6,,
HAMP,Hampton National Historic Site,National Historic Site,MD,0,,
WACO,Waco Mammoth National Monument,National Monument,TX,5,,
GLCA,Glen Canyon National Recreation Area,National Recreation Area,UT,13,,
YOSE,Yosemite National Park,National Park,CA,0,0,0
TAPR,Tallgrass Prairie National Preserve,National Preserve,KS,334,,
TUIN,Tuskegee Institute National Historic Site,National Historic Site,AL,10,,
FOCA,Fort Caroline National Memorial,National Memorial,FL,0,,
SACR,Saint Croix Island International Historic Site,International Historic Site,ME,0,,
LOSA,Lower Saint Croix National Scenic Riverway,National Scenic Riverway,WI,0,,
STLI,Statue Of Liberty National Monument,National Monument,NY,6,,
BAND,Bandelier National Monument,National Monument,NM,0,,
WICA,Wind Cave National Park,National Park,SD,1,0,0
NATR,Natchez Trace Parkway,Parkway,MS,393,,
COLM,Colorado National Monument,National Monument,CO,3,,
FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,VA,0,,
PULL,Pullman National Monument,National Monument,IL,16,,
PAAV,Pennsylvania Avenue National Historic Site,National Historic Site,DC,0,,
WWIM,World War I Memorial,National Memorial,DC,0,,
BEPA,Belmont-Paul Women's Equality National Monument,National Monument,DC,0,,
NOCA,North Cascades National Park,National Park,WA,0,0,0
STON,Stonewall National Monument,National Monument,NY,6,,
NPSA,National Park of American Samoa,National Park,AS,0,0,0
VOYA,Voyageurs National Park,National Park,MN,0,0,0
CONG,Congaree National Park,National Park,SC,0,0,0
FEHA,Federal Hall National Memorial,National Memorial,NY,6,,
FRDO,Frederick Douglass National Historic Site,National Historic Site,DC,0,,
FOSM,Fort Smith National Historic Site,National Historic Site,AR,397,,
HALE,Haleakala National Park,National Park,HI,0,0,0
LECL,Lewis and Clark National Historic Trail,National Historic Trail,NE,147,,
LACH,Lake Chelan National Recreation Area,National Recreation Area,WA,0,,
LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,TX,1,,
CAVE,Carlsbad Caverns National Park,National Park,NM,198,0,1
AZRU,Aztec Ruins National Monument,National Monument,NM,260,,
ZION,Zion National Park,National Park,UT,0,0,0
LIHO,Lincoln Home National Historic Site,National Historic Site,IL,233,,
CRMP,Craters of the Moon National Preserve,National Preserve,ID,0,,
CRMO,Craters of the Moon National Monument,National Monument,ID,0,,
PECO,Pecos National Historical Park,National Historical Park,NM,0,,
ORPI,Organ Pipe Cactus National Monument,National Monument,AZ,0,,
CURE,Curecanti National Recreation Area,National Recreation Area,CO,1,,
THRO,Theodore Roosevelt National Park,National Park,ND,1585,0,1
CRLA,Crater Lake National Park,National Park,OR,0,0,0
APIS,Apostle Islands National Lakeshore,National Lakeshore,WI,0,,
GLAC,Glacier National Park,National Park,MT,4,0,0
KEWE,Keweenaw National Historical Park,National Historical Park,MI,0,,
HOME,Homestead National Monument,National Monument,NE,46,,
CHCU,Chaco Culture National Historical Park,National Historical Park,NM,44,,
GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,MT,0,,
CAJO,Captain John Smith National Historic Trail,National Historic Trail,MD,0,,
INDE,Independence National Historical Park,National Historical Park,PA,0,,
JAZZ,New Orleans Jazz National Historical Park,National Historical Park,LA,81,,
BICR,Birmingham Civil Rights National Monument,National Monument,AL,138,,
GRTE,Grand Teton National Park,National Park,WY,0,0,1
CHIC,Chickasaw National Recreation Area,National Recreation Area,OK,142,,
STRI,Stones River National Battlefield,National Battlefield,TN,0,,
GRSA,Great Sand Dunes National Preserve,National Preserve,CO,1,,1
GRSA,Great Sand Dunes National Park,National Park,CO,0,0,1
BITH,Big Thicket National Preserve,National Preserve,TX,221,,
RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,TX,0,,
RIRA,River Raisin National Battlefield Park,National Battlefield Park,MI,0,,
MIMA,Minute Man National Historical Park,National Historical Park,MA,0,,
BLCA,Black Canyon of the Gunnison National Park,National Park,CO,1,0,0
WACA,Walnut Canyon National Monument,National Monument,AZ,0,,
WUPA,Wupatki National Monument,National Monument,AZ,0,,
WABA,Washita Battlefield National Historic Site,National Historic Site,OK,22,,
KAWW,Katahdin Woods And Waters National Monument,National Monument,ME,0,,
ROLA,Ross Lake National Recreation Area,National Recreation Area,WA,0,,
BIBE,Big Bend National Park,National Park,TX,0,0,0
VAFO,Valley Forge National Historical Park,National Historical Park,PA,0,,
LAKE,Lake Mead National Recreation Area,National Recreation Area,NV,19,,
MISS,Mississippi National River and Recreation Area,National River and Recreation Area,MN,0,,
CHSC,Little Rock Central High School National Historic Site,National Historic Site,AR,16,,
CEBR,Cedar Breaks National Monument,National Monument,UT,0,,
FODA,Fort Davis National Historic Site,National Historic Site,TX,0,,
FOMR,Fort Monroe National Monument,National Monument,VA,0,,
ARCH,Arches National Park,National Park,UT,2,0,0
FOLA,Fort Laramie National Historic Site,National Historic Site,WY,16,,
TUMA,Tumacacori National Historical Park,National Historical Park,AZ,0,,
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,AR,1588,,
FOUS,Fort Union Trading Post National Historic Site,National Historic Site,ND,304,,
GRCA,Grand Canyon National Park,National Park,AZ,1,0,0
PAIS,Padre Island National Seashore,National Seashore,TX,128,,
CUIS,Cumberland Island National Seashore,National Seashore,GA,0,,
OZAR,Ozark National Scenic Riverway,National Scenic Riverway,MO,13,,
FILA,First Ladies National Historic Site,National Historic Site,OH,24,,
GWCA,George Washington Carver National Monument,National Monument,MO,11,,
HAVO,Hawai'i Volcanoes National Park,National Park,HI,0,0,0
SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,WI,0,,
VALL,Valles Caldera National Preserve,National Preserve,NM,2,,
CUVA,Cuyahoga Valley National Park,National Park,OH,10,30,0
WRST,Wrangell-St. Elias National Park,National Park,AK,0,0,0
WRST,Wrangell-St. Elias National Preserve,National Preserve,AK,0,,
GLBA,Glacier Bay National Park,National Park,AK,0,0,0
GLBA,Glacier Bay National Preserve,National Preserve,AK,0,,
KATM,Katmai National Park,National Park,AK,0,0,0
KEFJ,Kenai Fjords National Park,National Park,AK,0,0,0
LACL,Lake Clark National Preserve,National Preserve,AK,0,,
NOAT,Noatak National Preserve,National Preserve,AK,0,,
BELA,Bering Land Bridge National Preserve,National Preserve,AK,0,,
ALAG,Alagnak Wild River,Wild River,AK,0,,
