parkName,stateAbbrev,stateName,type,totalDeferredMaintenance2019,nonTransportation2019,transportation2019,nonHistoric2019,historic2019,amphitheater2019,aviation2019,buildings2019,communicationsSystem2019,constructedWaterway2019,damLeveeDike2019,electricalSystem2019,fortification2019,fuelSystem2019,heatingCoolingSystems2019,interpretiveMedia2019,maintainedArcheologicalSite2019,maintainedLandscape2019,marinaWaterfrontSystem2019,missileSiloTower2019,monumentMemorial2019,parkingLot2019,pavedRoads2019,railroadSystem2019,roadBridge2019,roadTunnel2019,ship2019,solidWasteSystem2019,trails2019,trailBridge2019,trailTunnel2019,unpavedRoads2019,wasteWaterSystem2019,waterSystems2019,totalDeferredMaintenance2018,nonTransportation2018,transportation2018,nonHistoric2018,historic2018,amphitheater2018,aviation2018,buildings2018,communicationsSystem2018,constructedWaterway2018,damLeveeDike2018,electricalSystem2018,fortification2018,fuelSystem2018,heatingCoolingSystems2018,interpretiveMedia2018,maintainedArcheologicalSite2018,maintainedLandscape2018,marinaWaterfrontSystem2018,missileSiloTower2018,monumentMemorial2018,parkingLot2018,pavedRoads2018,railroadSystem2018,roadBridge2018,roadTunnel2018,ship2018,solidWasteSystem2018,trails2018,trailBridge2018,trailTunnel2018,unpavedRoads2018,wasteWaterSystem2018,waterSystems2018,totalDeferredMaintenance2017,nonTransportation2017,transportation2017,nonHistoric2017,historic2017,amphitheater2017,aviation2017,buildings2017,communicationsSystem2017,constructedWaterway2017,damLeveeDike2017,electricalSystem2017,fortification2017,fuelSystem2017,heatingCoolingSystems2017,interpretiveMedia2017,maintainedArcheologicalSite2017,maintainedLandscape2017,marinaWaterfrontSystem2017,missileSiloTower2017,monumentMemorial2017,parkingLot2017,pavedRoads2017,railroadSystem2017,roadBridge2017,roadTunnel2017,ship2017,solidWasteSystem2017,trails2017,trailBridge2017,trailTunnel2017,unpavedRoads2017,wasteWaterSystem2017,waterSystems2017,totalDeferredMaintenance2016,nonTransportation2016,transportation2016,nonHistoric2016,historic2016,amphitheater2016,aviation2016,buildings2016,communicationsSystem2016,constructedWaterway2016,damLeveeDike2016,electricalSystem2016,fortification2016,fuelSystem2016,heatingCoolingSystems2016,interpretiveMedia2016,maintainedArcheologicalSite2016,maintainedLandscape2016,marinaWaterfrontSystem2016,missileSiloTower2016,monumentMemorial2016,parkingLot2016,railroadSystem2016,roadBridge2016,roadTunnel2016,pavedRoads2016,ship2016,solidWasteSystem2016,trailBridge2016,trailTunnel2016,trails2016,unpavedRoads2016,wasteWaterSystem2016,waterSystems2016,totalDeferredMaintenance2015,nonTransportation2015,transportation2015,nonHistoric2015,historic2015,amphitheater2015,aviation2015,buildings2015,communicationsSystem2015,constructedWaterway2015,damLeveeDike2015,electricalSystem2015,fortification2015,fuelSystem2015,heatingCoolingSystems2015,interpretiveMedia2015,maintainedArcheologicalSite2015,maintainedLandscape2015,marinaWaterfrontSystem2015,missileSiloTower2015,monumentMemorial2015,parkingLot2015,railroadSystem2015,roadBridge2015,roadTunnel2015,pavedRoads2015,ship2015,solidWasteSystem2015,trailBridge2015,trailTunnel2015,trails2015,unpavedRoads2015,wasteWaterSystem2015,waterSystems2015
Hot Springs National Park,AR,Arkansas,park,14158542.95,8616484.64,5542058.313,2681448.893,11477094.06,73414.72,0,4095891.64,0,0,0,0,0,0,0,885742,0,987101.03,0,0,80091.43,731263.0995,4810795.214,0,0,0,0,0,1438060.51,0,0,0,0,1029509.91,14939420.44,9301093.06,5638327.38,2385793.12,12553627.32,73414.72,0,4246497.22,0,0,0,0,0,0,0,770382,0,1192745.91,0,0,80091.43,783131.9895,4855195.391,0,0,0,0,0,1528069.36,0,0,0,0,1388638.62,12360491.16,8990616.75,3369874.415,2669088.886,9691402.279,73414.72,0,3768180.73,0,27295.04,0,0,0,0,0,1083776.5,0,1234892.7,0,0,291981.43,606347.613,2763526.802,0,0,0,0,0,1546367.1,0,0,0,0,943454.73,19960757.51,8853324.26,11107433.25,2305190.548,17655566.96,118094.87,0,2939927.36,0,527295.03,840000,0,0,0,0,527500,0,1071444.23,0,0,65144.15,745084.3725,0,0,0,10362348.87,0,0,0,0,1431785.33,0,0,1310879.49,19595323.08,13119666.74,6475656.338,5227580.968,14367742.11,65598.69,0,7683236.68,0,527295.03,840000,0,0,0,0,527500,0,1192907.38,0,0,0,586295.1628,0,0,0,5889361.175,0,0,0,0,1410858.49,0,0,851016.67
Indiana Dunes National Park,IN,Indiana,park,28333844.98,23285102.61,5048742.366,20058669.26,8275175.713,40196.63,0,18172347.81,0,0,0,379243.54,0,0,0,0,0,2140717.28,0,0,4392.81,2244668.539,3040658.163,0,35343,0,0,0,1789951.5,15776.45,0,43794.243,3685.43,405920.22,27797754.55,20814953.11,6982801.439,22398322.54,5399432.013,39216.23,0,15718873.07,0,0,0,307506.32,0,0,0,0,0,1958096.31,0,0,79948.72,2515440.785,4681583.393,0,35343,0,0,0,1950020.79,88200.06,0,14040.243,3653.58,388682.69,26556235.84,20328657.72,6227578.121,15192477.02,11363758.82,39216.23,0,15458725.16,0,0,0,307659.24,0,0,0,0,0,1759763.32,0,0,79948.72,2402241.8,3787399.472,0,37936.8495,0,0,0,2433749.77,88200.06,0,24343.7805,21616.84,72962.13,25394949.83,22571286.27,2823663.564,11559428.45,13835521.38,0,0,18513225.31,18889.09,0,0,168541.53,0,0,0,0,0,1507538.97,0,0,79885.17,888375.735,0,35343,0,1899944.829,0,0,122785.45,0,1961229.13,47468.8755,44905.15,81494.48,27110696.64,20392430.8,6718265.841,12755652.67,14355043.97,0,0,17708921.64,18889.09,0,0,168541.53,0,0,0,0,0,1114313.69,0,0,75663.05,2392023.121,0,36146.25,0,4290096.47,0,0,110897.28,0,1052402.83,51652.809,44905.15,46243.73
Isle Royale National Park,MI,Michigan,park,12514386.59,12020913.09,493473.5027,12056446.25,457940.34,0,0,5798297.76,0,0,0,1042263.21,0,0,0,0,0,701014.24,2701003.71,0,0,493473.5027,0,0,0,0,0,0,1322864.27,0,0,0,434189.9,21280,17881876.68,17416842.05,465034.6315,14849891.65,3031985.03,0,0,10147267.63,39800,0,0,825791.77,0,146831.08,0,0,0,1031274.62,3016999.03,0,0,465034.6315,0,0,0,0,0,0,1718527.55,0,0,0,420557.68,69792.69,17676294.17,17252182.05,424112.1242,14680019.49,2996274.68,0,0,10449323.52,39800,0,0,161328.79,0,581370.82,0,0,0,722814.32,3073362.49,0,0,424112.1242,0,0,0,0,0,0,1723338.9,0,0,0,431050.52,69792.69,14877294.24,14693968.14,183326.0985,11310672.54,3566621.7,0,0,8138037.79,39800,0,0,653691,0,1163522.2,0,0,0,531717.26,1840233.11,0,0,183326.0985,0,0,0,0,0,0,0,0,2074012.48,0,183161.61,69792.69,15470123.56,15233482.67,236640.8912,11902563.79,3567559.77,0,0,7861129.78,39800,0,0,638389.92,0,1259042.1,0,0,0,671956.56,2112476.01,0,0,236640.8912,0,0,0,0,0,0,0,0,2256162.64,0,330334.82,64190.84
Gateway Arch National Park,Total,Total,park,31260655.9,30171919.15,1088736.755,2218067.675,29042588.23,0,0,26948350.19,610491.96,0,0,0,0,0,0,0,0,2613077,0,0,0,1088736.755,0,0,0,0,0,0,0,0,0,0,0,0,24551305.93,23288812.17,1262493.756,2332706.886,22218599.04,0,0,19184009.62,498201.98,0,0,0,0,0,0,0,0,3606600.57,0,0,0,1262493.756,0,0,0,0,0,0,0,0,0,0,0,0,24446749.24,23154486.69,1292262.552,1845566.462,22601182.78,0,0,17887010.55,537134.1,0,0,0,0,0,0,0,0,4730342.04,0,0,0,1292262.552,0,0,0,0,0,0,0,0,0,0,0,0,25846163.66,25310860.01,535303.647,1395047.977,24451115.68,0,0,19542897.33,445133.3,0,0,0,0,0,0,16973,0,5305856.38,0,0,0,535303.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Tree National Park,CA,California,park,44380237.93,19592053.94,24788183.99,41363018.54,3017219.388,0,0,4828494.79,77858.67,0,16838,65463,0,0,0,515020.54,1184587.2,3374368.09,0,0,0,1362665.511,23844334.38,0,0,0,0,0,2630513.81,0,0,6109152.273,0,370941.67,65923906.77,18487405.86,47436500.92,64111110.81,1812795.961,98824.15,0,3522824.14,84050.95,0,0,1177498,0,0,0,593102.54,973025.46,2920104.15,0,0,0,4018422.506,43656031.26,0,0,0,0,0,3460922.17,0,0,4030102.256,0,1142238.59,46796158.68,14237829.53,32558329.15,45563035.84,1233122.84,98824.15,0,2683161.27,69550.95,0,0,761101,0,0,0,73340.68,1022059.86,2687872.16,0,0,0,3395115.443,29163213.71,0,0,0,0,0,3020780.66,0,0,3522172.896,0,211684.1,35494526.33,12793300.84,22701225.5,34521599.57,972926.763,98824.15,0,2505114.26,76496.45,0,0,730887.4,0,0,0,73340.68,773588.7,2259167.83,0,0,0,3377644.434,0,0,0,19323581.06,0,0,0,0,3680719.67,2373435.797,0,176684.1,60715374.49,12499253.86,48216120.62,59989600.33,725774.156,98824.15,0,2778523,100747.32,0,29632.98,749929.8,0,0,0,73340.68,561753.26,2185910.95,0,0,0,2462125.098,0,0,0,45753995.52,0,0,0,0,3410665.65,2305919.165,0,158965.11
Katmai National Park and Preserve,AK,Alaska,park,7872323.5,7872323.5,0,5432625.89,2439697.61,0,0,3724302.38,600000,0,0,245808.42,0,66871.62,0,73926.68,0,314920.68,21869.37,0,0,0,0,0,0,0,0,0,497864.59,81094.84,0,2199034.48,27119.92,19510.52,9910310.224,9910310.224,0,9471717.804,438592.42,0,0,3954198.45,400348.15,0,0,107908.91,0,66871.62,48337.63,73926.68,0,341159.75,53150.41,0,0,31268.247,0,0,0,0,0,0,550680.98,1345970.01,0,2464418.917,358435.01,113635.46,9138087.8,9100511.624,37576.176,8789345.61,348742.19,0,0,3479539.6,0,0,0,4953.69,0,38361.81,48337.63,73926.68,0,226624.54,305089.7,0,0,37576.176,0,0,0,0,0,0,685257.49,1296171.06,0,2354264.304,493860.18,94124.94,9292783.938,9255207.762,37576.176,8866349.108,426434.83,0,0,3603207.74,0,0,0,4953.69,0,21409,48337.63,73741.06,1976.03,215408.75,282180.69,0,0,37576.176,0,0,0,0,0,0,1264875.17,0,976442.04,2344390.782,329710.35,88574.83,12003876.46,11770698.79,233177.6675,11197446.41,806430.05,0,0,4974296.22,0,0,0,40246.35,0,22009,48337.63,116482.19,1976.03,189659.71,472474.5,0,0,233177.6675,0,0,0,0,0,0,1264875.17,0,976438.24,3111421.788,364626.1,187855.86
Kenai Fjords National Park,AK,Alaska,park,1742049.046,1742049.046,0,1472049.046,270000,0,0,515237.44,571000,0,0,0,0,0,0,0,270000,1265.8,0,0,0,40570.816,0,0,0,0,0,0,343974.99,0,0,0,0,0,1678524.496,1678524.496,0,1408524.496,270000,0,0,789461.16,0,0,0,0,0,0,0,305237.84,270000,1265.8,0,0,0,40014.226,0,0,0,0,0,0,232974.99,0,0,0,0,39570.48,1756716.512,1590688.49,166028.022,1756716.512,0,0,0,975804.16,0,0,0,0,0,16501.5,0,308919.44,0,1265.8,0,0,0,14828.022,0,0,151200,0,0,0,279147.59,0,0,0,0,9050,2445318.885,1357592.74,1087726.145,2445318.885,0,0,0,882784.49,0,0,0,0,0,16865.65,0,307316.6,0,1266.04,0,0,0,294409.2015,0,237384,0,555932.943,0,0,0,0,149359.96,0,0,0,4148151.11,2003206.98,2144944.13,4148151.11,0,0,0,1492888.89,0,0,0,0,0,16865.65,0,345326.68,0,1265.8,0,0,0,369084.0227,0,237384,0,1538476.107,0,0,0,0,146859.96,0,0,0
Lake Clark National Park and Preserve,AK,Alaska,park,3331116.84,3331116.84,0,3238261.64,92855.2,0,0,2371858.31,283000,0,0,0,0,0,0,50979.44,0,211587.95,0,0,0,0,0,0,0,0,0,0,105140.79,0,0,105949.5,202600.85,0,1882239.692,1882239.692,0,1665069.922,217169.77,0,0,1051207.49,0,0,0,0,0,18852.42,0,50979.44,0,52099.92,0,0,0,0,0,0,0,0,0,0,335433,0,0,173566.572,200100.85,0,1444822.512,1444822.512,0,1368385.512,76437,0,0,575949.59,0,0,0,0,0,17114.98,0,50979.44,0,52099.92,0,0,0,0,0,0,0,0,0,0,368313,0,0,180264.732,200100.85,0,2100013.482,2100013.482,0,1943296.932,156716.55,0,0,923932.03,0,0,0,0,0,233914.76,0,50979.44,0,16160.14,0,0,0,0,0,0,0,0,0,0,0,0,444272.2,180264.732,200100.85,50389.33,1584185.312,1584185.312,0,1427468.762,156716.55,0,0,884718.73,0,0,0,0,0,14298.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360363,74315.232,200100.85,50389.33
Lassen Volcanic National Park,CA,California,park,41384974.72,14016886.9,27368087.82,18683995.89,22700978.83,6610.95,0,5036496.95,678115.98,0,153641.24,498599.87,0,808504.65,0,199738.86,0,706007.17,0,0,0,4378534.029,22363963.79,0,625590,0,0,0,3065354.79,9635.12,0,144768.6,909649.95,1799762.77,33426800.71,13434658.8,19992141.91,16191512.27,17235288.44,2586.45,0,4959299.59,1168457.33,0,153641.24,392515.27,0,196749.16,0,199738.86,0,986820.39,0,0,0,4181499.081,15185052.83,0,625590,0,0,0,2798285.13,11451.32,0,47388.375,702474.98,1815250.7,22448749.77,12051058.23,10397691.54,14083685.89,8365063.877,2586.45,0,4525470.41,1166047.53,0,216073.56,392515.27,0,116965.21,0,25938,0,980453.83,0,0,0,3446100.099,6155102.237,0,796489.2,0,0,0,2621928.63,11451.32,0,47385,702474.98,1241768.04,21446177.99,12176773.66,9269404.331,14280158.69,7166019.298,569,0,4332057.6,601513.29,0,216073.56,525197.25,0,74810.89,0,72196,0,1110519.11,0,0,0,2683745.582,0,811890.54,0,5773768.209,0,0,11451.32,0,2991488.58,47385,615814.78,1577697.28,23818372.55,13755429.41,10062943.14,16392407.07,7425965.477,163494,0,4282092.47,98288.09,0,216073.56,211848.45,0,2295.5,0,72196,0,1100546.25,0,0,0,2981172.714,0,1022085,0,6059685.421,0,0,11451.32,0,3632437.15,282452.9705,1507181.81,2175071.84
Mammoth Cave National Park,KY,Kentucky,park,118411234.8,71974107.35,46437127.47,116193475.7,2217759.16,281.2,0,11776276.31,0,0,0,953254.31,0,70208.19,0,50789.1,0,16269579.46,457634.62,0,100225.15,6349438.395,40187625.13,0,165240,0,0,0,27636064.85,650106.25,0,340079.094,5649577.38,7545605.38,92411480.74,63907064.73,28504416.01,90106056.63,2305424.11,588.52,0,14951768.5,45298.15,0,0,922698,0,489.04,0,46104.84,0,4725058.28,144235.72,0,174061.57,4826007.675,23778344.39,0,165240,0,0,0,36442198.98,0,0,482808.33,5450995.94,46332.8,78043316.12,56006877.36,22036438.76,75732136.8,2311179.32,588.52,0,14724993.92,45298.15,0,0,433624,0,489.04,0,46104.84,0,3455707.76,144235.72,0,190333.9,4560948.689,17306599.36,0,168890.7105,0,0,0,35677136.06,0,0,143413.011,908619.64,46332.8,94505148.76,65002425.1,29502723.66,92193706.79,2311441.97,588.86,0,14334527.34,45298.15,0,0,433624,0,489.04,0,46104.84,0,3517016.95,312205.72,0,272628.89,4504756.464,0,173823.678,0,24824143.52,0,0,0,0,44878934.94,143413.011,759560.7,16347.8,82111316.82,58015116.17,24096200.65,79999874.85,2111441.97,588.86,0,14151766.52,45298.15,0,0,433624,0,489.04,0,45289.5,0,1938126.22,312205.72,0,272628.89,2993566.464,0,900123.678,0,20202510.51,0,0,0,0,39326627.29,143413.011,1092677.71,10696.4
Mesa Verde National Park,CO,Colorado,park,68345103.5,26145633.72,42199469.79,43822725.4,24522378.1,458163.72,0,7733801.08,0,0,0,0,0,112879.9,52690.51,776909,4109069.22,987990.56,0,0,0,5545289.849,33325833.28,0,170239.563,3205599.3,0,0,1688834.87,0,0,162083.5515,1497435.47,7878193.9,76307054.68,41263993.2,35043061.48,47517443.78,28789610.91,593260.73,0,11514390.46,162875.45,0,0,0,0,49379.13,261442.06,695783,9730851.05,1932283.17,0,0,0,5353179.165,26421235.71,0,166087.3815,3205599.3,0,0,4086524.85,0,0,1077581.367,1855404.3,8561087.83,70749005.37,39986274.99,30762730.38,46080039.61,24668965.76,693013.13,0,9942750.09,365372.57,0,0,0,0,49379.13,261442.06,662409,9390301.55,2328598.36,0,5808.57,0,4969563.948,22421479.75,0,166087.3815,3205599.3,0,82717.86,3941029.05,0,0,1161411.251,1855404.3,8606548.34,65733321.27,36828448.17,28904873.1,38532949.14,27200372.13,264855.7,0,9377997.95,353135.12,0,0,0,0,47112.84,307619.22,109205,8593423.75,2270928.14,0,5808.57,0,2898791.037,0,166087.3815,3205599.3,22634395.38,0,108665.56,0,0,3859690.91,1168489.328,1889164.33,7847102.88,56939227.4,31466149.98,25473077.42,34736460.78,22202766.62,264855.7,0,8529835.38,255297.12,0,0,0,0,47112.84,307619.22,73600,6436149.8,1838973.77,0,5808.57,0,2218020.53,0,166087.3815,3205599.3,19883370.21,0,108665.56,0,0,3760749.62,1177464.128,1585784.56,6448984.84
Mount Rainier National Park,WA,Washington,park,208753022.5,75815887.03,132937135.4,65015599.58,143737422.9,205087.46,0,22364228.7,2712952.12,0,7002.8,4812956.6,0,0,0,468150.71,0,5865237.04,0,0,23959,7879717.35,102265170.6,0,22127303.94,664943.5665,0,15005.4,18762384.51,117944.4,0,1955312.919,15752667.66,2752997.71,186278439.8,68823335.44,117455104.3,58155992.3,128122447.5,132388.16,0,22446736.47,83177.12,0,7002.8,1395116.76,0,0,0,983256.47,0,4597643.23,0,0,40339.36,6998298.318,98161697.83,0,11701055.93,594052.245,0,7975.53,10978485.01,243944.4,0,1706734.26,21007870.11,5192665.76,175819974.9,40748053.09,135071921.8,38893719.14,136926255.8,168328.11,0,13602025.21,83177.12,0,7002.8,1145449.38,0,0,0,914720.34,0,4421003.85,0,0,40339.36,8212054.199,117083234.8,0,9276973.16,499659.651,0,7975.53,10395926.86,161553.2,0,1612818.419,3329110.41,4858622.5,152128455.2,46915069.78,105213385.4,49543099.51,102585355.7,90195.15,0,13081065.65,57507.12,0,7002.8,9781268.04,0,0,0,918749.04,0,4061651.29,0,0,57144.68,8237150.01,0,16592073.75,975159,79409002.64,0,65341.2,42963.05,0,10009756.16,1279968.08,3127511.39,4334946.13,285391146.2,63505707.77,221885438.4,63718289.49,221672856.7,137877.43,0,24175220.83,57507.12,0,0,11482693.36,0,0,0,889133.84,0,6944597.43,0,0,48566.04,8924612.581,0,16945763.22,1095174,194919888.6,0,65341.2,42963.05,0,10884197.39,1572020.796,3111913.81,4093675.47
National Park of American Samoa,AS,American Samoa,park,1656843.706,1458042.706,198801,1656843.706,0,0,0,108002.83,0,0,0,0,58000,0,0,24669.04,8345.6,0,0,0,0,0,198801,0,0,0,0,0,406287.95,0,0,768172.086,0,0,1353626.016,1154826.366,198799.65,1353626.016,0,0,0,108002.83,0,0,0,0,58000,0,0,24669.04,8345.6,0,0,0,0,0,198799.65,0,0,0,0,0,469940.86,0,0,401302.836,0,0,956927.516,758127.866,198799.65,956927.516,0,0,0,108002.83,0,0,0,0,58000,0,0,24669.04,8345.6,0,0,0,0,0,198799.65,0,0,0,0,0,157807.56,0,0,401302.836,0,0,819076.8285,755183.34,63893.4885,819076.8285,0,0,0,122631.4,0,0,0,0,58000,0,0,22269.04,42770,0,0,0,0,0,0,0,0,63893.4885,0,0,0,0,212352.9,297160,0,0,922729.8685,858836.38,63893.4885,922729.8685,0,0,0,118811.4,0,0,0,0,58000,0,0,19919.04,40770,0,0,0,0,0,0,0,0,63893.4885,0,0,0,0,211352.9,409983.04,0,0
New River Gorge National River,WV,West Virginia,park,17816393.21,12109037.61,5707355.598,14624854.79,3191538.42,0,0,4776911.03,0,0,0,0,0,0,0,1014775,226304.04,1350502.32,39360.82,0,0,2371725.86,2667248.68,0,1002190.536,0,0,0,2123993.25,239447.34,0,1805148.982,96512.17,32273.18,21079427.55,17084872.78,3994554.765,17267339.31,3812088.24,2291043.17,0,6222403.6,0,0,0,0,0,0,0,1719166.27,225383.73,1843575.66,41080.82,0,0,2125944.572,1183269.287,0,1019150.384,0,0,0,1918951.24,309297.16,0,1938807.933,102082.78,69270.94,21318668.18,16890171.75,4428496.427,17943775.33,3374892.85,2291043.17,0,5785208.21,0,0,0,0,0,0,0,1719166.27,113365.92,1784211.18,41080.82,0,0,2153301.206,1155333.731,0,1119861.491,0,0,0,1918951.24,309297.16,0,2686494.062,102082.78,69270.94,22295247.76,18007979.62,4287268.143,19858320.22,2436927.54,2291043.17,0,7407606.2,0,0,0,0,0,0,0,2090754.07,113365.92,1486941.6,41080.82,0,0,2096725.19,0,1119861.491,0,1070681.463,0,0,244582.8,0,1547344.82,2543906.499,102082.78,69270.94,17839450.59,13778930.72,4060519.87,14952438.89,2887011.7,2291043.17,0,5703500.63,0,0,0,0,0,0,0,0,0,1333277.83,41080.82,0,0,2026692.156,0,864158.49,0,1169669.224,0,0,143293.84,0,1486731.66,2538649.051,102082.78,69270.94
North Cascades National Park,WA,Washington,park,24807949.83,15134903.87,9673045.964,23231508.04,1576441.79,0,0,3612054.55,35000,0,0,0,0,539458.98,0,552806,9566,1229358.19,2319133.66,0,0,2242429.488,6885300.001,0,551554.6905,0,0,0,3002255.44,446815.3,0,358949.3805,1915640.3,1107627.85,22526305.14,14141542.78,8384762.358,19734984.46,2791320.679,0,0,4626797.36,0,0,0,0,0,39458.98,0,25972,51240.41,1645673.62,2800229.18,0,0,2431348.58,4328736.498,0,1727475.35,0,0,0,3332601.08,73951,0,345683.909,75410.5,1021726.67,18826842.19,11808311.83,7018530.361,16007299.92,2819542.269,26411.58,0,4431519.96,0,0,0,0,0,39458.98,0,25972,51240.41,1397443.51,1658040.98,0,0,2223385.954,3756108.834,0,1039035.573,0,0,0,3285455.93,73951,0,382240.5061,75410.5,361166.47,26273465.56,17267577.87,9005887.693,23770748.76,2502716.802,26411.58,0,4496903.79,0,0,0,31882.12,0,39458.98,0,0,51240.41,981048.61,788559.84,0,173598.61,2413056.745,0,1145069.852,0,5447761.097,0,0,64070.04,0,3652494.42,6407919.436,118749.51,435240.52,21840957.41,16802264.45,5038692.958,20643778.17,1197179.235,26411.58,0,3265874.21,0,0,0,38258.62,0,27260.98,0,0,94542.55,1056929.91,1232938.05,0,197542.01,1518695.752,0,998314.74,0,2521682.466,0,0,87875.64,0,4019809.65,6475615.537,84590.87,194614.84
Olympic National Park,WA,Washington,park,122829260,48146995.45,74682264.53,119745182.6,3084077.41,372006.27,0,16854500.19,351750,0,0,636066.91,0,242653.96,0,898094.42,0,1446356.01,3723812.37,0,0,1379614.74,70318867.57,0,2961444.375,68850,0,0,7118474.02,1138443.87,0,2413055.434,10312413.87,2592855.98,126501263,41213370.57,85287892.42,122519255.2,3982007.78,368192.45,0,16889813.43,620220,0,0,512661.25,0,171048.81,0,837779.7,0,2059858.29,398197.26,0,0,1879064.627,78322579.99,0,5038679.075,92947.5,0,0,6885892.18,1209160.68,0,3785273.984,4742904.44,2686989.33,120719515.4,31979813.71,88739701.66,116857410.2,3862105.19,371270.42,0,11078311.67,495900,0,0,267320.14,0,215199.75,0,791250,0,1587140.38,113147.27,0,0,1838525.495,82825610.54,0,4036381.875,39183.75,0,0,6327794.56,1092855.93,0,3801153.386,2903679.01,2934791.19,152227793.5,36918161.26,115309632.3,146564934.6,5662858.89,419452.77,0,12689664.08,320900,0,0,61189.77,0,188324.79,0,2603609.09,0,4966199.42,282524.34,0,0,5700456.046,0,3746811.236,317862.333,105544502.6,0,0,968950.99,0,7078136.82,3679554.899,2208231.36,1451422.93,139821329.5,33005395.2,106815934.3,135195829.7,4625499.81,548756.83,0,10627422.49,196000,0,0,61189.77,0,188324.79,0,2603609.09,0,4803474.42,282524.34,0,0,3418911.271,0,4051417.5,317862.333,99027743.15,0,0,777153.23,0,5474417.78,3756966.573,2208231.36,1477324.53
Petrified Forest National Park,AZ,Arizona,park,68245961.48,33710138.89,34535822.59,42498604.07,25747357.41,0,0,23112914.28,25774.2,0,0,371910.17,0,0,0,205707.77,508803.78,3146086.43,0,0,0,2260138.208,27639498.29,0,4686675.296,0,0,0,1512935.99,0,0,81905.175,1553936.02,1873382.84,47989929.19,17525673.33,30464255.86,37952611.56,10037317.63,0,0,8718169.94,25774.2,0,0,371910.17,0,3835.55,0,224947.77,378178.09,1193922.85,0,0,0,1957101.397,25957973.87,0,2599669.796,0,0,0,1512893.65,0,0,81905.175,1128100.11,2467850.61,43991502.19,14541208.26,29450293.93,34570865.83,9420636.362,0,0,8211322.62,0,0,0,371910.17,0,43699.79,0,38880,573391.09,812103.57,0,0,0,2252500.475,24539565.15,0,2658228.3,0,0,0,695306.57,0,0,98919.144,1128100.11,1753884.76,46888756.21,12537278.44,34351477.77,38203890.09,8684866.125,0,0,7316554.62,0,0,0,359904.31,0,80409.59,0,24700,174713,205845.77,0,0,0,3471016.631,0,2209801.5,0,28670659.64,0,0,0,0,660557.32,0,895150.02,2267282.61,55692239.77,14526208.73,41166031.04,47073809.58,8618430.194,0,0,8018635.35,0,0,0,359904.31,0,57993.1,0,19240,174713,89373.72,0,0,0,2540630.47,0,2318161.248,0,36307239.32,0,0,0,0,1021656.97,169220.152,450939.73,3301601.91
Pinnacles National Park,CA,California,park,19360187.31,5315072.568,14045114.75,9063414.444,10296772.87,10932.36,0,3585531.98,0,0,22753.5,15225.81,0,0,0,0,0,403943.02,0,0,0,1561341.002,12741650.53,0,12979.575,0,0,0,441043.64,0,0,158155.329,270000,0,10648600.84,4671495.48,5977105.358,6334009.142,4314591.696,0,0,1725135.87,75000,0,22753.5,15225.81,0,0,0,0,0,127116,0,0,0,1543046.598,4690561.46,0,12663,0,0,0,573986.5,0,0,129000,1598591,0,9431253.076,4103143.455,5328109.621,5251570.066,4179683.01,0,0,1370648.46,75000,0,22753.5,15225.81,0,0,0,0,0,77600,0,0,0,1016296.983,4295531.638,0,16281,0,0,0,664087.54,0,0,183716.0451,1558591,0,9815737.468,4581609.909,5234127.56,5585958.6,4229778.868,0,0,1472196.34,75000,0,8000,15000,0,0,0,0,0,174266,0,0,0,1031077.223,0,16281,0,4186769.336,0,0,0,0,773096.44,213089.2485,1558591,204800.4,10172434.68,5275926.478,4896508.204,5657557.879,4514876.803,0,0,1244630.13,75000,0,8000,0,0,0,0,0,0,174266,0,0,0,475102.4325,0,16281,0,4405124.772,0,0,0,0,763519.87,1159548.598,1558591,204800.4
Redwood National Park,CA,California,park,24748883.71,14098230.03,10650653.69,21880799.55,2868084.162,0,0,4504519.88,78859.93,0,0,120306.98,0,0,0,20747.4,0,364499.86,0,0,81556.57,1017593.523,4588703.312,0,5076366.512,0,0,0,2467938.07,56561.04,0,6083375.467,48601.77,239253.4,23635118.53,13401439.36,10233679.17,20511693.12,3123425.412,0,0,3633171.37,78859.93,0,0,0,0,0,0,20747.4,0,413152.18,0,0,81556.57,2670343.524,5397618.462,0,2388352.5,0,0,0,2223552.72,17116,0,6280175.406,48601.77,239253.4,21965285.26,13703319.44,8261965.827,18698041.1,3267244.169,0,0,4051989.76,78859.93,0,0,0,0,0,0,20747.4,0,404577.51,0,0,81556.57,2493428.423,4291434.905,0,1477102.5,0,0,0,2218209.51,17116,0,6386521.887,48601.77,252521.8,28144419.35,20449944.9,7694474.459,23380651.57,4763767.784,0,0,4126785.54,78859.93,0,0,0,0,0,0,46241.45,0,270932.54,0,0,81556.57,2430693.428,0,2278125,0,2985656.031,0,0,0,0,3305847.2,12177533.9,48601.77,26191.06,28913882.86,20472677.95,8441204.909,24315616.58,4598266.276,0,0,4449506.27,78859.93,0,0,0,0,0,0,46241.45,0,224268.65,0,0,81556.57,2237094.138,0,2278125,0,3925985.771,0,0,0,0,3210485.09,12007499.23,73942.99,12922.83
